thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=village,n,1156621821,0.9235833,25.2106667,village,,Bamboloi II,"""name""=>""Bamboloi II"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Banalia"""
Localities,place=village,n,4230670217,-2.9478196,28.9564834,village,,,"""place""=>""village"""
Localities,place=village,n,1157428815,-3.9932591,28.8711119,village,,M'meta,"""name""=>""M'meta"", ""place""=>""village"", ""source""=>""MSFsurvey"", ""alt_name""=>""Meta"", ""households""=>""104"", ""population""=>""625"", ""source:date""=>""2017-07"", ""is_in:groupement""=>""Basimukuma 1"", ""is_in:territoire""=>""Fizi"", ""is_in:collectivité""=>""Tanganyika"", ""is_in:health_level6""=>""Fizi"", ""is_in:health_level8""=>""Lumanya"""
Localities,place=village,n,4516792720,3.1601587,18.792364,village,,Zembe,"""name""=>""Zembe"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1161062328,-4.9050833,17.0303333,village,,Manzau,"""name""=>""Manzau"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Manzaw"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Kenge"", ""is_in:collectivité""=>""Pelende-Nord"""
Localities,place=village,n,4984675070,-6.883333,21.966667,village,,Kashama,"""name""=>""Kashama"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1161443024,-4.1952,19.03214,village,,Diar,"""name""=>""Diar"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/09/14"", ""is_in:groupement""=>""Nkumi"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Sedzo"""
Localities,place=village,n,4667160041,-5.5570537,26.9005279,village,,,"""place""=>""village"""
Localities,place=village,n,4477003299,-5.4333329,27.4333331,village,,Mbulula,"""name""=>""Mbulula"", ""place""=>""village"""
Localities,place=neighbourhood,n,5085817925,-3.9245633,25.9190634,neighbourhood,,Belgica,"""name""=>""Belgica"", ""place""=>""neighbourhood"", ""source""=>""MSFsurvey"", ""source:date""=>""2019-01"", ""is_in:health_level6""=>""Kibombo"", ""is_in:health_level8""=>""Kasuku"""
Localities,place=village,n,4621466417,-5.4074099,27.4582143,village,,,"""place""=>""village"""
Localities,place=village,n,1168656000,-5.3918559,13.3693496,village,,Kilembikisa 2,"""name""=>""Kilembikisa 2"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/06/01"", ""is_in:territoire""=>""Seke-Banza"", ""is_in:collectivité""=>""Isangila"""
Localities,place=village,n,1161453403,-4.60572,19.51847,village,,Ilanga Lwele,"""name""=>""Ilanga Lwele"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Luele-Elanga"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Ngala Lwele"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Kalanganda"""
Localities,place=village,n,4486657429,-5.4404584,27.4946411,village,,,"""place""=>""village"""
Localities,place=hamlet,n,5081880452,-3.6409913,25.7488471,hamlet,,Lombodi,"""name""=>""Lombodi"", ""place""=>""hamlet"""
Localities,place=village,n,5066444826,-5.9794069,21.149394,village,,,"""place""=>""village"""
Localities,place=village,n,1161077970,-4.64003,17.74765,village,,Kinzinda,"""name""=>""Kinzinda"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Mabanza"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Kitoy"""
Localities,place=village,n,4392218192,-3.6430814,29.1487905,village,,,"""place""=>""village"", ""name:en""=>""MANGOJEO village"""
Localities,place=hamlet,n,6749851391,-3.9246255,26.0015622,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,1160973042,-2.7855667,28.47255,village,,Kangombo,"""name""=>""Kangombo"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Kashebeyi"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/10/03"", ""is_in:groupement""=>""Mulamba"", ""is_in:territoire""=>""Walungu"", ""is_in:collectivité""=>""Ngweshe"""
Localities,place=hamlet,n,4573058313,2.6290634,28.66263,hamlet,,,"""place""=>""hamlet"", ""source""=>""Bing"""
Localities,place=village,n,5227181091,-1.700948,17.7672891,village,,Epopo Funga,"""name""=>""Epopo Funga"", ""note""=>""probabely"", ""place""=>""village"""
Localities,place=hamlet,n,4575634541,-6.1535005,23.3117234,hamlet,,,"""place""=>""hamlet"", ""source""=>""Bing"""
Localities,place=village,n,1161075998,-4.82884,17.68074,village,,Mabu,"""name""=>""Mabu"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Mayoyo"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Kinzenga"""
Localities,place=village,n,5071048236,-6.2,22.916667,village,,Buya-Bondo,"""name""=>""Buya-Bondo"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1156634831,-3.2499889,27.0294333,village,,Kimpiki,"""name""=>""Kimpiki"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/14"", ""is_in:groupement""=>""Nangi"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Beia"""
Localities,place=hamlet,n,6707753174,-4.8947383,26.9561255,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,4516792019,3.1619758,18.9862359,village,,Banga-Kete,"""name""=>""Banga-Kete"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1161078238,-4.63611,17.67102,village,,Bakonda II,"""name""=>""Bakonda II"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Kimwilu Kuba"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Kitoy"""
Localities,place=village,n,1157931397,1.4710451,30.1294974,village,,Nongo,"""name""=>""Nongo"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Irumu"""
Localities,place=hamlet,n,3048320624,-1.1817282,20.4531963,hamlet,,Ifuto,"""name""=>""Ifuto"", ""place""=>""hamlet"", ""source""=>""SYGIAP project (UCL and UGent)"", ""alt_name""=>""Ifuto"""
Localities,place=village,n,4569058058,-6.4895643,23.4749919,village,,,"""place""=>""village"", ""source""=>""Bing"""
Localities,place=village,n,4590777632,-4.0939022,29.2592481,village,,Kalongwe,"""name""=>""Kalongwe"", ""place""=>""village"", ""source""=>""MSFsurvey"", ""households""=>""160"", ""population""=>""2008"", ""source:date""=>""2017-07"", ""is_in:health_level6""=>""Fizi"", ""is_in:health_level8""=>""Dine"""
Localities,place=village,n,5214068974,-5.8139124,23.6292588,village,,,"""place""=>""village"""
Localities,place=village,n,1157841091,4.171817,27.8536084,village,,Badolo,"""name""=>""Badolo"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/06/13"", ""is_in:territoire""=>""Dungu"", ""is_in:collectivité""=>""Wando"""
Localities,place=hamlet,n,5361299532,-5.3327935,21.0381056,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,1158948161,-0.94879,29.1941741,village,,Kibingu,"""name""=>""Kibingu"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/11/21"", ""is_in:groupement""=>""Mutanda"", ""is_in:territoire""=>""Rutshuru"", ""is_in:collectivité""=>""Bwito"""
Localities,place=village,n,633119863,-5.7368061,13.7479169,village,,Nduizi,"""name""=>""Nduizi"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Kongo Dia Lemba"", ""is_in:territoire""=>""Songololo"", ""is_in:collectivité""=>""Palabala"""
Localities,place=village,n,4966369408,-7.2325667,21.2345076,village,,Shamupelete,"""name""=>""Shamupelete"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=hamlet,n,5732658897,1.5078583,21.0648756,hamlet,,Boyela,"""name""=>""Boyela"", ""place""=>""hamlet"", ""source""=>""JOG ca. 1966"""
Localities,place=village,n,629569541,-5.2610952,12.9513158,village,,Kangu,"""name""=>""Kangu"", ""place""=>""village"""
Localities,place=village,n,2137628426,-4.8589623,12.8018103,village,,,"""place""=>""village"""
Localities,place=village,n,663346358,-7.031167,29.7578329,village,,Tereka,"""name""=>""Tereka"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Katele"", ""is_in:territoire""=>""Moba"", ""is_in:collectivité""=>""Moba"""
Localities,place=village,n,4615047999,-5.402749,28.6813476,village,,,"""place""=>""village"""
Localities,place=village,n,4477003318,-6.183333,27.1500001,village,,Mukaka,"""name""=>""Mukaka"", ""place""=>""village"""
Localities,place=hamlet,n,3048320509,-1.4999451,20.4155746,hamlet,,Bakako,"""name""=>""Bakako"", ""place""=>""hamlet"", ""source""=>""SYGIAP project (UCL and UGent)"""
Localities,place=village,n,4901650285,0.4035726,28.9150714,village,,,"""place""=>""village"""
Localities,place=village,n,4847635626,-8.4003397,29.006147,village,,,"""place""=>""village"""
Localities,place=village,n,1157936842,1.2324444,30.1358056,village,,Monobi,"""name""=>""Monobi"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Munobi"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/04/24"", ""is_in:territoire""=>""Irumu"", ""is_in:collectivité""=>""Walendu Bindi"""
Localities,place=village,n,5569914550,-4.6667452,24.9997115,village,,Kamana,"""name""=>""Kamana"", ""place""=>""village"", ""source""=>""MSFsurvey"", ""source:date""=>""2018"", ""is_in:health_level6""=>""Tunda"", ""is_in:health_level8""=>""Ongeri"""
Localities,place=isolated_dwelling,n,4583989549,-6.5109986,23.3992264,isolated_dwelling,,,"""place""=>""isolated_dwelling"", ""source""=>""Bing"""
Localities,place=village,n,4516792497,3.0942724,18.6944364,village,,Kimi,"""name""=>""Kimi"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=town,n,614581713,-4.8476882,21.5612,town,,Mweka,"""name""=>""Mweka"", ""place""=>""town"", ""wikidata""=>""Q2977263"""
Localities,place=village,n,1096797779,-2.9528484,18.7040206,village,,Duma II,"""name""=>""Duma II"", ""pcode""=>""30240062"", ""place""=>""village"", ""is_in:territoire""=>""Kutu"", ""is_in:collectivité""=>""Luabu"""
Localities,place=village,n,4885305019,-5.4178962,27.372544,village,,,"""place""=>""village"""
Localities,place=village,n,1160970127,-3.3498868,29.1618313,village,,Kiromoni,"""name""=>""Kiromoni"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/12/21"", ""is_in:territoire""=>""Uvira"", ""is_in:collectivité""=>""Bavira"""
Localities,place=village,n,4966369392,-7.1,20.883333,village,,Keyetshi,"""name""=>""Keyetshi"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=locality,n,3356995498,-1.6535893,25.8175077,locality,,Kowe,"""name""=>""Kowe"", ""place""=>""locality"""
Localities,place=village,n,1160973454,-2.26801,28.89251,village,,Nyabulongwe,"""name""=>""Nyabulongwe"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/12/21"", ""is_in:groupement""=>""Bushumba"", ""is_in:territoire""=>""Kabare"", ""is_in:collectivité""=>""Kabare"""
Localities,place=state,n,4346341650,2.7936527,27.6435943,state,,Haut-Uele,"""name""=>""Haut-Uele"", ""place""=>""state"", ""name:de""=>""Ober-Uelle"", ""name:en""=>""Upper Uele"", ""name:fr""=>""Haut-Uele"", ""timezone""=>""Africa/Lubumbashi"", ""admin_level""=>""4"""
Localities,place=locality,n,616829033,-4.4269517,15.3967295,locality,,Luebo,"""name""=>""Luebo"", ""place""=>""locality"""
Localities,place=village,n,5361299539,-5.3450108,21.0444458,village,,,"""place""=>""village"""
Localities,place=village,n,1168731498,-5.2014722,14.9991944,village,,Baba,"""name""=>""Baba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Mbanza-Ngungu"""
Localities,place=village,n,5361297307,-5.2889107,21.0905986,village,,,"""place""=>""village"""
Localities,place=village,n,1157932766,1.7563879,30.3749262,village,,Saba,"""name""=>""Saba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/12/21"", ""is_in:groupement""=>""Sesele"", ""is_in:territoire""=>""Djugu"", ""is_in:collectivité""=>""Walendu-Djatsi"""
Localities,place=town,n,621235472,-6.1368376,24.4862256,town,,Kabinda,"""name""=>""Kabinda"", ""place""=>""town"", ""capital""=>""4"", ""wikidata""=>""Q3191660"""
Localities,place=village,n,6538306651,-6.4468133,17.8334434,village,,Mafuti,"""name""=>""Mafuti"", ""place""=>""village"""
Localities,place=village,n,1161444175,-4.48905,18.91487,village,,Mibiere II,"""name""=>""Mibiere II"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Mpene"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Niadi Nkara"""
Localities,place=village,n,1156635540,-3.537068,26.281557,village,,Antriaco,"""name""=>""Antriaco"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/21"", ""is_in:groupement""=>""Lila"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Wakabango"""
Localities,place=village,n,4857858929,-5.7400316,26.6589806,village,,,"""place""=>""village"""
Localities,place=village,n,4516792179,3.85,19.0000001,village,,Butumweya,"""name""=>""Butumweya"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1161446983,-3.97657,19.15222,village,,Ndjin Ndjin,"""name""=>""Ndjin Ndjin"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/09/09"", ""is_in:groupement""=>""Wamba"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Sedzo"""
Localities,place=village,n,5071047582,-5.4035815,23.0281013,village,,Ngeya-Kalamba,"""name""=>""Ngeya-Kalamba"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,4970708884,-6.7473788,20.7348474,village,,Shapongo,"""name""=>""Shapongo"", ""place""=>""village"""
Localities,place=village,n,4477003377,-5.966667,29.1499999,village,,Muyeba,"""name""=>""Muyeba"", ""place""=>""village"""
Localities,place=village,n,4477003311,-5.1765342,28.3065259,village,,Mubimbe,"""name""=>""Mubimbe"", ""place""=>""village"""
Localities,place=village,n,663335180,-8.5627093,28.8052938,village,,Kapitolo,"""name""=>""Kapitolo"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:territoire""=>""Pweto"", ""is_in:collectivité""=>""Pweto"""
Localities,place=village,n,631479054,1.7488261,18.0869142,village,,Mokame Centre,"""name""=>""Mokame Centre"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""code_ins""=>""0"", ""is_in:groupement""=>""Lobala II"", ""is_in:territoire""=>""Bomongo"", ""is_in:collectivité""=>""Djamba"""
Localities,place=village,n,1157428946,-5.9635551,28.1754889,village,,Luela,"""name""=>""Luela"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/03"", ""is_in:territoire""=>""Kalemie"""
Localities,place=village,n,4862249840,-5.0572821,28.8622443,village,,Marenge,"""name""=>""Marenge"", ""place""=>""village"""
Localities,place=village,n,5206858106,-5.6499913,22.7162878,village,,,"""place""=>""village"""
Localities,place=village,n,1161081588,-5.14028,17.85448,village,,Kwati Yoko,"""name""=>""Kwati Yoko"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Kwatiyoko"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Kalunga Mukinzi"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Kinzenzengo"""
Localities,place=village,n,1160970825,-2.91244,28.9188101,village,,Musenyi,"""name""=>""Musenyi"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2006/12/10"", ""is_in:groupement""=>""Luvungi Itara"", ""is_in:territoire""=>""Uvira"", ""is_in:collectivité""=>""Bafulero"""
Localities,place=village,n,1161062512,-5.04044,17.54542,village,,Mont Ngaliema,"""name""=>""Mont Ngaliema"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Mikunzi Nsay"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Kinzenga"""
Localities,place=hamlet,n,6705344706,-4.4647202,27.2523326,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,5860199192,0.3549621,29.3239848,village,,Mahungu,"""name""=>""Mahungu"", ""place""=>""village"""
Localities,place=village,n,1158947806,-0.984252,29.1763822,village,,Kasesero,"""name""=>""Kasesero"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/11/21"", ""is_in:territoire""=>""Rutshuru"", ""is_in:collectivité""=>""Bwito"""
Localities,place=village,n,1161083703,-5.10847,18.16168,village,,Kinvundji Kinzasu,"""name""=>""Kinvundji Kinzasu"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/15"", ""is_in:groupement""=>""Mudimbimbi"", ""is_in:territoire""=>""Masi Manimba"", ""is_in:collectivité""=>""Kinzenzengo"""
Localities,place=village,n,5703071664,1.7406039,30.7429747,village,,Songa 1/Moya,"""name""=>""Songa 1/Moya"", ""place""=>""village"""
Localities,place=village,n,4966369490,-6.6727305,20.5919329,village,,Shakalunga,"""name""=>""Shakalunga"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1157860539,1.8185833,30.6168,village,,Dhedda,"""name""=>""Dhedda"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/04/24"", ""is_in:territoire""=>""Djugu"", ""is_in:collectivité""=>""Walendu-Pitsi"""
Localities,place=quarter,n,3407889805,-4.365714,15.2712303,quarter,,Quartier Congo,"""name""=>""Quartier Congo"", ""place""=>""quarter"""
Localities,place=village,n,1156634274,-3.2359389,26.601625,village,,Tchelo,"""name""=>""Tchelo"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/26"", ""is_in:groupement""=>""Munua"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Babene"""
Localities,place=village,n,5208515975,-5.788293,22.8566675,village,,Tshisenga,"""name""=>""Tshisenga"", ""place""=>""village"", ""source""=>""wikimapia"""
Localities,place=village,n,4516792499,3.3359388,18.6935028,village,,Kisangani,"""name""=>""Kisangani"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1157861084,2.2084167,30.1241389,village,,Kanda,"""name""=>""Kanda"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Bongo-Bongo"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/01/23"", ""is_in:groupement""=>""Bongo-Bongo"", ""is_in:territoire""=>""Djugu"", ""is_in:collectivité""=>""Mabendi"""
Localities,place=town,n,623877239,-6.0556272,21.9021756,town,,Mbulungu,"""name""=>""Mbulungu"", ""place""=>""town"", ""alt_name""=>""Bulungu"""
Localities,place=village,n,4477002315,-6.8,27.9,village,,Kilunzi,"""name""=>""Kilunzi"", ""place""=>""village"""
Localities,place=village,n,663323721,-9.96723,28.105546,village,,Lupembe,"""name""=>""Lupembe"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Kapwasa"", ""is_in:territoire""=>""Kasenga"", ""is_in:collectivité""=>""Yawende-Loolo"""
Localities,place=village,n,5204147804,-5.3488612,22.1194303,village,,,"""place""=>""village"""
Localities,place=village,n,5717086854,-5.9406516,19.3348228,village,,Kangu,"""name""=>""Kangu"", ""place""=>""village"""
Localities,place=village,n,1161066002,-4.72728,18.11611,village,,Vallee,"""name""=>""Vallee"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/15"", ""is_in:groupement""=>""Mudikwiti"", ""is_in:territoire""=>""Masi Manimba"", ""is_in:collectivité""=>""Mosango"""
Localities,place=village,n,1161065074,-4.78792,17.84442,village,,Nzombi I,"""name""=>""Nzombi I"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Masi Manimba"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Masi-Manimba"""
Localities,place=village,n,1160970653,-2.7883105,29.0003638,village,,Katogota,"""name""=>""Katogota"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Itara"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2006/12/10"", ""is_in:groupement""=>""Luvungi Itara"", ""is_in:territoire""=>""Uvira"", ""is_in:collectivité""=>""Bafulero"""
Localities,place=village,n,1074176604,0.1142712,29.6421259,village,,Kitongote,"""name""=>""Kitongote"", ""pcode""=>""99000735"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Masiki Kalonge"", ""is_in:collectivité""=>""Bashu"""
Localities,place=village,n,663345929,-7.0787219,29.723139,village,,Katanga,"""name""=>""Katanga"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Kinkalata"", ""is_in:territoire""=>""Moba"", ""is_in:collectivité""=>""Moba"""
Localities,place=village,n,5639432135,-4.1321243,28.6896679,village,,,"""place""=>""village"""
Localities,place=hamlet,n,4619463719,-5.2140679,28.2960517,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,663334929,-10.5458582,26.8731633,village,,Kala,"""name""=>""Kala"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""alt_name""=>""Kaja"", ""is_in:territoire""=>""Kambove"", ""is_in:collectivité""=>""Basanga"""
Localities,place=village,n,4621475082,-5.3305607,27.5701773,village,,,"""place""=>""village"""
Localities,place=village,n,4857858546,-5.8595511,26.2743883,village,,Pofu,"""name""=>""Pofu"", ""place""=>""village"""
Localities,place=hamlet,n,1701215397,-4.4562778,15.3486667,hamlet,,Mbenza,"""name""=>""Mbenza"", ""place""=>""hamlet"", ""source""=>""RGC+UNICEF - GPS"", ""rgc:pcode""=>""99003881"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""is_in:commune""=>""Mont Ngafula"""
Localities,place=village,n,5071048107,-6.433333,23.083333,village,,Damba,"""name""=>""Damba"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1730471128,1.2179816,19.8280178,village,,Bofandjwa,"""name""=>""Bofandjwa"", ""place""=>""village"", ""source""=>""JOG;www.rgc.cd"", ""rgc:pcode""=>""40210015"", ""is_in:territoire""=>""Basankusu"", ""is_in:collectivité""=>""Basankusu"""
Localities,place=hamlet,n,5100481676,-5.4610453,22.369597,hamlet,,,"""place""=>""hamlet"""
Localities,place=town,n,3894022897,-8.0233647,27.1242047,town,,Kyolo,"""name""=>""Kyolo"", ""place""=>""town"""
Localities,place=village,n,4857858551,-4.9334611,28.7481375,village,,Mutupeke,"""name""=>""Mutupeke"", ""place""=>""village"""
Localities,place=town,n,614006405,-2.6388032,16.2444895,town,,Tshumbiri,"""name""=>""Tshumbiri"", ""place""=>""town"""
Localities,place=village,n,5509965739,-1.3396143,27.7301199,village,,Obaye,"""name""=>""Obaye"", ""place""=>""village"""
Localities,place=village,n,4477001530,-6.4,28.1666671,village,,Katumbi,"""name""=>""Katumbi"", ""place""=>""village"""
